YEAR,ST_CASE,NUM_PEDS,NUM_VEHC,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,LATITUDE,LONGITUD,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2008,10019,0,1,1,1,WESLEY CHAPEL RD,52.0,33.88183611,-83.07588889,0,0,2007.0,0,0
2008,10020,0,2,2,20,I-20,120.0,33.74891944,-84.71772778,0,1,1999.0,0,0
2008,10020,0,2,2,20,I-20,120.0,33.74891944,-84.71772778,0,0,2006.0,0,0
2008,10021,1,1,2,23,I-95,88.0,31.22864722,-81.51504722,0,1,2000.0,0,0
2008,10021,1,1,2,23,I-95,88.0,31.22864722,-81.51504722,0,0,2008.0,0,0
2008,10022,0,3,3,2,SR-22 SP,73.0,32.517625,-84.88172222,0,1,1977.0,1,0
2008,10023,0,1,4,23,CHAMBLEE DUNWOODY RD,55.0,33.92595278,-84.31592778,0,1,1998.0,0,0
2008,10024,0,2,6,16,SR-247,195.0,32.30296389,-83.49777778,0,1,2005.0,1,0
2008,10025,0,1,1,12,HOLCOMB RD,21.0,34.91496944,-85.15440278,0,1,1995.0,0,0
2008,10025,0,1,1,12,HOLCOMB RD,21.0,34.91496944,-85.15440278,0,0,2008.0,0,0
2008,10026,0,1,1,16,SR-41,210.0,32.43423611,-84.53975278,0,0,2007.0,0,0
2008,10026,0,1,1,16,SR-41,210.0,32.43423611,-84.53975278,0,1,2007.0,0,0
2008,10027,0,1,2,24,CANAL RD,3.0,31.22601389,-81.50123889,0,1,2000.0,1,0
2008,10028,0,2,2,10,SR-165,150.0,32.06133889,-83.12651667,0,0,2005.0,0,0
2008,10029,0,2,4,16,WASHINGTON RD,6.0,33.63149444,-84.49228889,0,1,1997.0,0,0
2008,10029,0,2,4,16,WASHINGTON RD,6.0,33.63149444,-84.49228889,0,0,1998.0,0,0
2008,10030,0,2,3,20,SR-70,262.0,33.72034444,-84.58492222,0,1,2004.0,1,0
2008,10030,0,2,3,20,SR-70,262.0,33.72034444,-84.58492222,0,0,2001.0,0,0
2008,10031,1,1,3,21,FAIRVIEW RD,22.0,33.61251944,-83.96394722,0,1,1993.0,0,0
2008,10031,1,1,3,21,FAIRVIEW RD,22.0,33.61251944,-83.96394722,0,0,2007.0,0,0
2008,10032,0,2,4,22,I-20,28.0,33.71448889,-84.29685,0,1,2001.0,0,0
2008,10033,1,3,10,22,SR-129 /SR-11,135.0,32.84843056,-83.62601111,0,1,2000.0,0,0
2008,10034,0,1,4,17,I-75,48.0,31.09553611,-83.41863056,0,1,1999.0,0,0
2008,10034,0,1,4,17,I-75,48.0,31.09553611,-83.41863056,0,0,1981.0,0,0
2008,10035,0,1,2,22,SR-50,1.0,31.78151667,-84.60187222,0,1,1993.0,1,0
2008,10036,0,2,3,3,I-75,13.0,33.89043889,-84.46250556,0,1,2002.0,0,0
2008,10037,0,1,1,21,KNIGHT RD,281.65259230612963,31.23458056,-81.51915,0,1,2005.0,1,0
2008,10038,0,2,2,1,BROWN RD,47.0,33.31913333,-81.98275833,0,1,1985.0,0,0
2008,10039,0,1,1,9,I-75,281.65259230612963,35.44645677888971,-97.98729029729091,0,0,2006.0,0,0
2008,10040,0,1,2,1,BENNETT FARM TRL,281.65259230612963,34.11486944,-84.60504167,0,1,1994.0,1,0
2008,10041,0,2,2,7,I-75,98.0,31.45501667,-83.53029722,0,1,1991.0,0,0
2008,10041,0,2,2,7,I-75,98.0,31.45501667,-83.53029722,0,0,1998.0,0,0
2008,10042,1,1,2,5,SR-3,86.0,33.96782222,-84.53636389,0,1,1994.0,1,0
2008,10043,1,2,8,7,SR-236,107.0,33.8503,-84.19014444,1,1,2003.0,0,0
2008,10044,0,2,5,20,SR-292,7.0,35.44645677888971,-97.98729029729091,0,1,1999.0,0,0
2008,10045,0,1,1,9,SR-46,38.0,32.35970833,-81.868075,0,1,2005.0,0,0
2008,10046,0,3,6,18,SR-56,92.0,33.36193611,-81.99169722,0,1,2006.0,1,0
2008,10047,0,1,1,17,CR-399,6.0,31.84619444,-82.34660556,0,1,2007.0,1,0
2008,10048,0,1,1,13,TEN MILE RD,51.0,31.84785278,-82.28281389,0,0,1997.0,1,0
2008,10049,0,1,6,22,I-20,71.0,33.70140278,-85.06095833,0,1,2005.0,0,0
2008,10049,0,1,6,22,I-20,71.0,33.70140278,-85.06095833,0,0,2005.0,0,0
2008,10050,0,1,5,1,SR-54,44.0,33.70505,-84.37859722,0,1,1999.0,0,0
2008,10050,0,1,5,1,SR-54,44.0,33.70505,-84.37859722,0,0,2005.0,0,0
2008,10051,0,1,2,10,CHANSLOR RD,281.65259230612963,31.26243056,-81.53706111,0,4,1991.0,0,0
2008,10051,0,1,2,10,CHANSLOR RD,281.65259230612963,31.26243056,-81.53706111,0,0,2001.0,0,0
2008,10052,0,2,2,19,SR-15,177.0,34.68357222,-83.42471389,0,1,1991.0,0,0
2008,10053,0,1,1,2,SR-184,136.0,34.61162222,-83.30178333,0,1,1995.0,1,0
2008,10054,0,1,2,16,SR-225,26.0,34.64594444,-84.84324167,0,1,1996.0,0,0
2008,10054,0,1,2,16,SR-225,26.0,34.64594444,-84.84324167,0,0,2002.0,0,0
2008,10055,0,1,1,21,CR-175,75.0,34.24220278,-83.99704444,0,0,2000.0,0,0
2008,10056,0,1,1,16,I-185,9.0,32.6221,-84.95328333,0,1,1995.0,0,0
2008,10057,0,2,2,17,SR-1,4.0,34.59456944,-85.28360278,0,1,1992.0,0,0
2008,10057,0,2,2,17,SR-1,4.0,34.59456944,-85.28360278,0,0,2006.0,0,0
2008,10058,1,1,2,3,CLUB DR,18.0,33.94211389,-84.10973889,0,1,1984.0,1,0
2008,10059,0,1,2,1,SR-91,124.0,31.17210833,-84.723,0,0,2006.0,0,0
2008,10059,0,1,2,1,SR-91,124.0,31.17210833,-84.723,0,2,1992.0,0,0
2008,10060,1,1,2,21,EAST AVE,1.0,34.016225,-85.223425,0,1,2001.0,0,0
2008,10060,1,1,2,21,EAST AVE,1.0,34.016225,-85.223425,0,0,1993.0,0,0
2008,10061,0,2,2,11,SR-12,155.0,33.41908333,-82.62336667,0,1,1991.0,0,0
2008,10061,0,2,2,11,SR-12,155.0,33.41908333,-82.62336667,0,0,1997.0,0,0
2008,10062,0,1,2,7,LIBERTY RD,15.0,33.67806944,-84.89356667,0,1,1978.0,1,0
2008,10063,0,1,1,24,SR-1,20.0,34.12672778,-85.21704167,0,0,1999.0,0,0
2008,10063,0,1,1,24,SR-1,20.0,34.12672778,-85.21704167,0,2,2007.0,0,0
2008,10064,1,1,2,1,I-285,46.0,33.69056667,-84.50005556,0,1,1995.0,1,0
2008,10065,0,2,2,8,SR-15,195.0,33.64081111,-83.22454722,0,0,2001.0,0,0
2008,10066,1,1,2,5,STOREY MILL RD,31.0,33.27410833,-82.09881389,0,1,2002.0,0,0
2008,10066,1,1,2,5,STOREY MILL RD,31.0,33.27410833,-82.09881389,0,0,1994.0,0,0
2008,10067,1,2,4,22,I-75,28.0,34.65336944,-84.98409722,0,1,2000.0,0,0
2008,10068,0,1,3,20,OLD HIGHWAY 441,29.0,34.43204444,-83.51141389,0,0,1999.0,0,0
2008,10068,0,1,3,20,OLD HIGHWAY 441,29.0,34.43204444,-83.51141389,0,1,1991.0,0,0
2008,10069,0,7,7,14,SR-3,84.0,34.16700278,-84.78870278,0,1,2001.0,0,0
2008,10069,0,7,7,14,SR-3,84.0,34.16700278,-84.78870278,0,1,2008.0,0,0
2008,10070,0,1,1,12,SR-60,193.0,34.44629167,-83.93297222,0,1,1999.0,0,0
2008,10071,0,1,2,17,SR-49,237.0,32.45540556,-83.95835556,0,1,1997.0,0,0
2008,10072,0,2,9,11,US-41 / SR-7,133.0,31.97939444,-83.78328333,0,1,2005.0,0,0
2008,10073,0,2,2,11,HOLT RD,61.0,31.55805833,-83.13843611,0,0,2005.0,0,0
2008,10073,0,2,2,11,HOLT RD,61.0,31.55805833,-83.13843611,0,1,1989.0,0,0
2008,10074,0,1,1,17,RIDGE RD,33.0,33.56271111,-82.57899167,0,1,2003.0,0,0
2008,10074,0,1,1,17,RIDGE RD,33.0,33.56271111,-82.57899167,0,0,2001.0,0,0
2008,10075,0,2,2,1,COBB PKWY,22.0,33.89086667,-84.47662222,0,2,1981.0,0,0
2008,10076,0,2,4,17,SR-10,163.0,33.453,-82.46500833,0,1,1992.0,0,0
2008,10076,0,2,4,17,SR-10,163.0,33.453,-82.46500833,0,0,2007.0,0,0
2008,10077,0,1,1,1,SR-53,119.0,34.392675,-84.08828333,0,1,2004.0,1,0
2008,10078,0,1,1,2,I-185,72.0,32.70512222,-85.01049167,0,1,1998.0,0,0
2008,10078,0,1,1,2,I-185,72.0,32.70512222,-85.01049167,0,0,2003.0,0,0
2008,10079,0,2,2,22,SR-11,84.0,32.99840556,-83.556475,0,1,1995.0,0,0
2008,10080,0,3,2,16,SR-26,118.0,32.25955556,-84.2593,0,0,2006.0,0,0
2008,10080,0,3,2,16,SR-26,118.0,32.25955556,-84.2593,0,1,1987.0,0,0
2008,10081,3,1,5,23,9TH STREET,1.0,33.23220833,-84.26781944,0,1,2005.0,0,0
2008,10081,3,1,5,23,9TH STREET,1.0,33.23220833,-84.26781944,0,0,2006.0,0,0
2008,10082,0,1,1,13,STEWART RD,28.0,33.77665,-83.83111111,0,0,1988.0,0,0
2008,10083,0,1,1,15,SR-400,59.0,33.89939722,-84.36133056,0,0,2007.0,0,0
2008,10083,0,1,1,15,SR-400,59.0,33.89939722,-84.36133056,0,0,2000.0,0,0
2008,10083,0,1,1,15,SR-400,59.0,33.89939722,-84.36133056,0,1,2000.0,0,0
2008,10084,0,1,1,8,SHILOH RD,21.0,32.82204722,-84.67703889,0,1,2002.0,0,0
2008,10084,0,1,1,8,SHILOH RD,21.0,32.82204722,-84.67703889,0,0,2007.0,0,0
2008,10085,0,1,4,18,VETERANS PKWY,0.0,35.44645677888971,-97.98729029729091,0,1,2002.0,0,0
2008,10086,0,1,1,17,LYNWOOD DR,1.0,33.582975,-84.36050556,0,0,1992.0,1,0
2008,10086,0,1,1,17,LYNWOOD DR,1.0,33.582975,-84.36050556,0,1,1990.0,0,0
2008,10087,0,1,1,23,SR-121,148.0,33.43810278,-82.001825,0,2,1985.0,1,0
2008,10087,0,1,1,23,SR-121,148.0,33.43810278,-82.001825,0,0,2005.0,0,0
2008,10088,0,2,2,16,PERRY RD,3.0,34.41549444,-85.21787778,0,1,1998.0,0,0
2008,10089,0,1,2,2,KIRKLAND,22.0,33.59109167,-83.94241389,0,1,1994.0,0,0
2008,10089,0,1,2,2,KIRKLAND,22.0,33.59109167,-83.94241389,0,0,1995.0,0,0
2008,10090,0,1,1,19,E HIGHTOWER TR,33.0,33.65324444,-83.71245278,0,1,2002.0,1,0
2008,10091,1,1,2,6,OLD WHITLEY RD,51.0,31.64738889,-83.29885556,0,1,2000.0,0,0
2008,10092,0,2,4,24,SR-56,39.0,33.29443889,-81.95901667,0,1,2001.0,1,0
2008,10093,0,1,1,11,JUNIPER CREEK RD,17.0,32.67135278,-83.79169444,0,0,1991.0,0,0
2008,10093,0,1,1,11,JUNIPER CREEK RD,17.0,32.67135278,-83.79169444,0,1,1997.0,0,0
2008,10094,0,2,2,17,SR-11,194.0,34.41349444,-83.80770278,0,1,2003.0,1,0
2008,10095,0,1,1,18,S MCDONOUGH ST,3.0,33.19023611,-84.21175,0,1,2001.0,0,0
2008,10096,0,2,2,12,CR-465,93.0,31.38236389,-82.42471111,0,1,1996.0,1,0
2008,10097,0,1,2,14,I-520,119.0,33.42205833,-81.9638,0,1,2004.0,0,0
2008,10097,0,1,2,14,I-520,119.0,33.42205833,-81.9638,0,0,2004.0,0,0
2008,10098,0,2,4,11,SR-87,17.0,32.34458056,-83.30348889,0,1,1990.0,0,0
2008,10099,0,1,2,14,CR-96,42.0,30.67303889,-83.12281667,0,1,1999.0,0,0
2008,10100,0,1,1,24,SR-2,281.65259230612963,34.91880278,-83.85645278,0,1,2006.0,0,0
2008,10100,0,1,1,24,SR-2,281.65259230612963,34.91880278,-83.85645278,0,0,2007.0,0,0
2008,10100,0,1,1,24,SR-2,281.65259230612963,34.91880278,-83.85645278,0,0,2000.0,0,0
2008,10101,0,2,1,16,SR-89,321.0,31.03425556,-82.74595556,0,1,2003.0,1,0
2008,10102,0,1,1,14,SR-4 BU,45.0,31.252725,-82.37643333,0,1,1999.0,1,0
2008,10103,1,1,3,22,SR-26,176.0,32.05579167,-81.11453889,0,1,2004.0,0,0
2008,10103,1,1,3,22,SR-26,176.0,32.05579167,-81.11453889,0,0,1997.0,0,0
2008,10104,0,4,2,13,WRIGHTSBORO RD,0.0,33.46524444,-81.99465833,0,1,2005.0,1,0
2008,10104,0,4,2,13,WRIGHTSBORO RD,0.0,33.46524444,-81.99465833,0,0,2005.0,0,0
2008,10105,0,2,2,11,JACKSON RD,24.0,33.28160556,-84.15158333,0,2,1999.0,0,0
2008,10105,0,2,2,11,JACKSON RD,24.0,33.28160556,-84.15158333,0,0,1997.0,0,0
2008,10106,0,2,2,18,SR-115,141.0,34.57536667,-83.66251944,0,1,1995.0,1,0
2008,10106,0,2,2,18,SR-115,141.0,34.57536667,-83.66251944,0,0,2001.0,0,0
2008,10107,1,1,3,21,SR-282,109.0,34.68753333,-84.50282222,0,1,2002.0,0,0
2008,10108,0,1,2,17,ICEPLANT RD,4.0,31.35583611,-83.03878889,0,1,1998.0,0,0
2008,10108,0,1,2,17,ICEPLANT RD,4.0,31.35583611,-83.03878889,0,0,2006.0,0,0
2008,10109,0,1,1,3,TALL TREE RD,2.0,33.94298611,-83.50135,0,1,2008.0,0,0
2008,10109,0,1,1,3,TALL TREE RD,2.0,33.94298611,-83.50135,0,0,2005.0,0,0
2008,10110,1,1,2,22,SR-13,13.0,33.84044444,-84.33141944,0,1,1987.0,1,0
2008,10111,0,2,4,3,COLLINS HILL RD,5.0,34.02776667,-84.02069167,0,1,2002.0,0,0
2008,10112,0,1,1,7,NEBO RD,23.0,33.84300833,-84.79475556,0,0,1995.0,0,0
2008,10112,0,1,1,7,NEBO RD,23.0,33.84300833,-84.79475556,0,1,1997.0,0,0
2008,10113,0,1,2,19,I-285,35.0,33.85584167,-84.48336111,0,1,2006.0,1,0
2008,10114,0,1,1,11,SR-77,166.0,34.42836389,-83.02664167,0,1,1992.0,1,0
2008,10114,0,1,1,11,SR-77,166.0,34.42836389,-83.02664167,0,0,2003.0,0,0
2008,10115,0,1,1,15,RONALD REAGAN PKWY,8.0,33.91323611,-84.10495556,0,1,2007.0,1,0
2008,10116,0,1,8,18,I-75,0.0,33.33511667,-84.123,0,1,2002.0,0,0
2008,10117,0,2,2,5,SR-8,76.0,33.92153333,-84.08459167,0,0,2008.0,0,0
2008,10117,0,2,2,5,SR-8,76.0,33.92153333,-84.08459167,0,1,2003.0,0,0
2008,10118,1,1,2,5,ANGEL RD,11.0,34.09721667,-85.41194167,0,1,1995.0,1,0
2008,10119,0,2,4,15,SR-74,27.0,33.52830278,-84.57584444,0,1,2002.0,0,0
2008,10119,0,2,4,15,SR-74,27.0,33.52830278,-84.57584444,0,1,2003.0,0,0
2008,10120,1,1,2,6,I-95,45.0,32.16398889,-81.22033611,0,1,1994.0,0,0
2008,10120,1,1,2,6,I-95,45.0,32.16398889,-81.22033611,0,1,1991.0,0,0
2008,10121,2,1,3,22,I-95,83.0,32.00472778,-81.28337778,0,0,2000.0,1,0
2008,10121,2,1,3,22,I-95,83.0,32.00472778,-81.28337778,0,1,2001.0,0,0
2008,10122,1,1,2,23,MACON HWY,9.0,33.91959167,-83.38758333,0,1,1998.0,0,0
2008,10122,1,1,2,23,MACON HWY,9.0,33.91959167,-83.38758333,0,0,2007.0,0,0
2008,10123,0,1,1,17,CLARK PLACE RD,15.0,33.07825556,-81.97573056,0,1,2002.0,0,0
2008,10123,0,1,1,17,CLARK PLACE RD,15.0,33.07825556,-81.97573056,0,0,1992.0,0,0
2008,10123,0,1,1,17,CLARK PLACE RD,15.0,33.07825556,-81.97573056,0,0,2006.0,0,0
2008,10124,0,2,2,22,I-75,110.0,33.44003611,-84.19329722,0,1,1994.0,0,0
2008,10125,0,1,1,11,SR-53,69.0,33.87337222,-83.51508333,0,1,1996.0,1,0
2008,10126,0,2,2,14,SR-150,174.0,33.66131667,-82.20193889,0,1,2005.0,0,0
2008,10127,0,1,1,15,SR-121,64.0,31.61340833,-82.20975,0,1,1999.0,1,0
2008,10128,0,2,3,10,PINEWORTH RD,3.0,32.82743056,-83.75799444,0,1,2003.0,1,0
2008,10129,0,1,1,20,HILL ST,5.0,33.74453889,-84.37920556,0,1,1997.0,0,0
2008,10130,0,2,2,5,I-85,70.0,34.24693056,-83.47892778,0,1,2006.0,0,0
2008,10131,1,1,4,3,SR-166 BYPASS,152.0,33.55809722,-85.07580833,0,1,1999.0,1,0
2008,10132,0,1,2,1,YELLOW CREEK RD,9.0,34.39085,-84.28168056,0,1,1999.0,0,0
2008,10132,0,1,2,1,YELLOW CREEK RD,9.0,34.39085,-84.28168056,0,0,1998.0,0,0
2008,10133,0,2,2,3,SR-138,80.0,33.55706111,-84.17062778,0,1,1987.0,1,0
2008,10134,0,2,2,20,SR-32,0.0,31.31155556,-81.73338889,0,1,1992.0,0,0
2008,10135,0,2,3,11,CONCORD RD,94.0,33.12919444,-84.46173056,0,1,1998.0,0,0
2008,10135,0,2,3,11,CONCORD RD,94.0,33.12919444,-84.46173056,0,0,1998.0,0,0
2008,10136,0,1,2,3,BETHANY BEND,5.0,34.11924722,-84.27850556,0,1,2007.0,0,0
2008,10137,0,1,1,7,SR-81,69.0,33.43196111,-84.20677222,0,1,1988.0,1,0
2008,10138,0,2,3,13,SR-11,205.0,34.42873611,-83.80647778,0,1,1996.0,0,0
2008,10139,0,1,1,6,EBENEZER RD,3.0,34.04928056,-84.52312222,0,1,2007.0,0,0
2008,10140,0,1,1,12,I-75,123.0,33.45597222,-84.20722222,0,1,2006.0,0,0
2008,10140,0,1,1,12,I-75,123.0,33.45597222,-84.20722222,0,0,2008.0,0,0
2008,10140,0,1,1,12,I-75,123.0,33.45597222,-84.20722222,0,0,2007.0,0,0
2008,10140,0,1,1,12,I-75,123.0,33.45597222,-84.20722222,0,0,2001.0,0,0
2008,10141,0,2,2,9,HARRIETTS BLUFF RD,31.0,30.84737778,-81.65253611,0,1,2005.0,1,0
2008,10142,0,3,3,14,I-20,24.0,33.77465278,-84.56743333,0,1,1997.0,0,0
2008,10143,0,1,1,7,JOHN WELLS RD,15.0,31.87238333,-81.73373333,0,1,1996.0,1,0
2008,10144,0,1,1,24,SR-254,26.0,34.52406111,-83.71998333,0,1,1999.0,0,0
2008,10145,1,1,2,17,I-575,10.0,34.09098056,-84.53331389,0,1,1999.0,0,0
2008,10146,1,1,2,1,I-75,2.0,33.10849167,-84.00245278,0,0,2001.0,0,2
2008,10146,1,1,2,1,I-75,2.0,33.10849167,-84.00245278,0,0,1999.0,0,2
2008,10147,0,2,2,9,SR-56,323.0,33.18125556,-81.96916667,0,1,1999.0,0,0
2008,10147,0,2,2,9,SR-56,323.0,33.18125556,-81.96916667,0,0,2004.0,0,0
2008,10148,0,1,1,21,PAXTON RD,281.65259230612963,30.84691944,-82.02246667,0,1,1998.0,1,0
2008,10148,0,1,1,21,PAXTON RD,281.65259230612963,30.84691944,-82.02246667,0,0,2001.0,0,0
2008,10149,0,2,2,6,SR-24,220.0,33.17475556,-83.28417778,0,1,2004.0,0,0
2008,10150,0,1,1,1,HUNTER ST,281.65259230612963,34.29884722,-83.81583333,0,1,2007.0,0,0
2008,10151,2,1,3,20,BERKNER AVE,26.0,32.82964722,-83.67794722,0,1,1999.0,0,0
2008,10152,0,1,1,17,OCHWALKEE RD,2.0,32.20363333,-82.666025,0,1,1982.0,0,0
2008,10153,0,2,2,7,SR-87,31.0,32.99818889,-83.73682778,0,0,2005.0,0,0
2008,10153,0,2,2,7,SR-87,31.0,32.99818889,-83.73682778,0,1,1995.0,0,0
2008,10154,0,5,10,15,SR-104,74.0,33.56213889,-82.170075,0,1,2002.0,0,0
2008,10155,0,1,1,11,SR-41,157.0,32.11307778,-84.52921667,0,0,2006.0,0,0
2008,10155,0,1,1,11,SR-41,157.0,32.11307778,-84.52921667,0,0,1997.0,0,0
2008,10156,0,1,1,16,BACK VALLEY RD,12.0,34.85351944,-85.54246944,0,1,2003.0,0,0
2008,10156,0,1,1,16,BACK VALLEY RD,12.0,34.85351944,-85.54246944,0,0,1995.0,0,0
2008,10157,0,1,1,22,SR-2,281.65259230612963,34.86195278,-84.01685,0,0,2007.0,1,0
2008,10158,0,1,1,1,I-95,130.0,32.15396111,-81.23578611,0,1,1999.0,0,0
2008,10159,0,2,3,10,SR-30,24.0,32.09966389,-82.1619,0,1,2000.0,0,0
2008,10160,0,2,3,2,I-75,121.0,31.49257778,-83.51585556,0,1,2000.0,0,0
2008,10160,0,2,3,2,I-75,121.0,31.49257778,-83.51585556,0,0,2003.0,0,0
2008,10161,1,1,3,12,MEDERS DR,0.0,31.33455833,-83.59263056,0,1,1990.0,0,0
2008,10162,0,2,4,15,SR-146,37.0,34.958875,-85.19743056,0,1,1996.0,0,0
2008,10163,0,1,1,7,I-285,258.0,33.91515833,-84.34907778,0,1,2003.0,0,0
2008,10164,0,2,2,15,SR-11,55.0,34.69933611,-83.91458333,0,1,1990.0,0,0
2008,10165,0,1,1,15,MAGNOLIA CHURCH RD,15.0,30.97863889,-83.671575,0,1,1994.0,1,0
2008,10166,0,2,7,7,REDAN RD,32.0,33.76361111,-84.20610556,0,1,2007.0,0,0
2008,10167,0,1,1,4,MOUNTAIN VIEW RD,7.0,34.25760556,-83.86827778,0,1,1993.0,0,0
2008,10167,0,1,1,4,MOUNTAIN VIEW RD,7.0,34.25760556,-83.86827778,0,0,2001.0,0,0
2008,10168,0,1,1,22,MINTER DR,6.0,33.35808056,-84.30554167,0,1,1998.0,1,0
2008,10169,0,1,1,13,SR-56,118.0,33.3963,-82.00534444,0,1,1995.0,0,0
2008,10170,1,1,2,19,SR-10,104.0,33.45203333,-82.05695,0,4,1999.0,0,0
2008,10170,1,1,2,19,SR-10,104.0,33.45203333,-82.05695,0,0,2006.0,0,0
2008,10171,0,1,1,12,CANOOCHEE RD,78.0,32.65905,-82.20796944,0,1,1999.0,1,0
2008,10171,0,1,1,12,CANOOCHEE RD,78.0,32.65905,-82.20796944,0,0,1997.0,0,0
2008,10172,1,2,3,10,I-75,58.0,33.37935,-84.13930833,0,1,2000.0,0,0
2008,10173,0,1,2,7,SANDERLING RD,2.0,31.55941111,-82.44290833,0,1,1987.0,1,0
2008,10174,0,1,1,6,SOUTHERNLAND AVE,6.0,31.064625,-83.62310278,0,1,1996.0,1,0
2008,10175,0,2,3,20,OLD CORNELIA HWY,39.0,34.42705278,-83.62046111,0,0,2004.0,0,0
2008,10175,0,2,3,20,OLD CORNELIA HWY,39.0,34.42705278,-83.62046111,0,1,2005.0,0,0
2008,10176,1,1,2,7,HARTLEY BRIDGE RD,29.0,32.74469167,-83.72058333,0,1,2000.0,0,0
2008,10176,1,1,2,7,HARTLEY BRIDGE RD,29.0,32.74469167,-83.72058333,0,0,2003.0,0,0
2008,10176,1,1,2,7,HARTLEY BRIDGE RD,29.0,32.74469167,-83.72058333,0,1,2000.0,0,0
2008,10177,0,1,1,9,SR-17,281.65259230612963,34.22596944,-83.05305833,0,1,2008.0,0,0
2008,10177,0,1,1,9,SR-17,281.65259230612963,34.22596944,-83.05305833,0,0,2005.0,0,0
2008,10178,1,1,2,7,SR-53,74.0,33.86761944,-83.44757778,0,1,2004.0,1,0
2008,10178,1,1,2,7,SR-53,74.0,33.86761944,-83.44757778,0,0,2003.0,0,0
2008,10179,0,1,3,15,EBENEZER RD,16.0,33.61635278,-84.04034722,0,0,2003.0,0,0
2008,10179,0,1,3,15,EBENEZER RD,16.0,33.61635278,-84.04034722,0,1,2000.0,0,0
2008,10180,0,1,1,3,SR-410,16.0,33.81630833,-84.25129722,0,1,2005.0,0,0
2008,10181,0,1,1,16,WARWOMAN RD,124.0,34.939775,-83.19223056,0,0,2004.0,0,0
2008,10181,0,1,1,16,WARWOMAN RD,124.0,34.939775,-83.19223056,0,1,2005.0,0,0
2008,10182,0,1,2,24,I-75,179.0,31.57014444,-83.54711944,0,1,1998.0,1,0
2008,10183,0,2,3,16,SR-22,38.0,32.80235278,-83.80808889,0,1,2004.0,0,0
2008,10184,0,1,1,22,NEWNAN CROSSING BYP,0.0,33.37368889,-84.76273889,0,1,1993.0,0,0
2008,10185,0,1,1,16,SR-72,1.0,34.07754444,-82.97424444,0,1,1998.0,0,0
2008,10185,0,1,1,16,SR-72,1.0,34.07754444,-82.97424444,0,0,1995.0,0,0
2008,10186,0,2,3,10,SR-26,226.0,32.41681389,-81.713175,0,1,2007.0,1,0
